GO ID,Depth,Level,IC,Immediate Previous Parent
GO:0000001,6,5,0,GO:0048308 GO:0048311 
GO:0048308,4,4,12.1450816024,GO:0006996 
GO:0048311,5,5,13.2436938911,GO:0051646 GO:0007005 
GO:0000002,5,5,11.85739953,GO:0007005 
GO:0007005,4,4,8.67934569962,GO:0006996 
GO:0000003,1,1,9.50602427281,GO:0008150 
GO:0019952,1,1,9.50602427281,GO:0008150 
GO:0050876,1,1,9.50602427281,GO:0008150 
GO:0008150,0,0,3.35460956887,
GO:0000005,N/A,N/A,N/A,N/A
GO:0042254,4,4,8.47300926663,GO:0022613 
GO:0044183,3,3,9.14336874832,GO:0005515 
GO:0051082,3,3,7.51668902945,GO:0005515 
GO:0000006,9,7,0,GO:0005385 
GO:0005385,8,6,8.98302609824,GO:0072509 GO:0046915 
GO:0000007,9,7,0,GO:0005385 
GO:0000008,N/A,N/A,N/A,N/A
GO:0000013,N/A,N/A,N/A,N/A
GO:0003756,5,3,9.05998713938,GO:0016864 GO:0140096 
GO:0015036,4,4,7.89683632957,GO:0016667 
GO:0000009,6,6,11.5857157837,GO:0000030 
GO:0000030,5,5,8.87766558258,GO:0016758 
GO:0000010,4,4,0,GO:0016765 
GO:0016765,3,3,7.19126662901,GO:0016740 
GO:0000011,5,5,0,GO:0007033 GO:0048308 
GO:0007033,4,4,9.0390012717,GO:0006996 
GO:0000012,8,6,12.1450816024,GO:0006281 
GO:0006281,7,5,7.47225276796,GO:0006259 GO:0006974 
GO:0000014,7,5,9.79395631446,GO:0004520 
GO:0004520,6,4,8.75250243963,GO:0004536 GO:0004519 
GO:0000015,5,3,11.4678862572,GO:0044445 GO:1902494 
GO:0044445,4,4,6.55278338979,GO:0044444 
GO:1902494,2,2,5.53299206154,GO:0032991 
GO:0000016,5,5,0,GO:0004553 
GO:0004553,4,4,6.22677379532,GO:0016798 
GO:0000017,8,8,0,GO:0042946 
GO:0042946,7,7,12.1450816024,GO:1901656 
GO:0000018,7,6,9.77795798829,GO:0051052 
GO:0051052,6,5,8.43150953572,GO:0019219 GO:0060255 
GO:0006310,7,5,8.26008726938,GO:0006259 
GO:0000019,8,7,11.6342559787,GO:0000018 
GO:0006312,8,6,10.53564369,GO:0006310 
GO:0000020,N/A,N/A,N/A,N/A
GO:0045950,9,8,0,GO:0045910 GO:0000019 
GO:0000022,4,4,0,GO:1903047 GO:0051231 
