Goterm1,Goterm2,LCA,LCA Depth
GO:0042221,GO:0042221,GO:0050896,1
GO:0042221,GO:0000278,GO:0008150,0
GO:0042221,GO:0006366,GO:0008150,0
GO:0042221,GO:0023052,GO:0008150,0
GO:0042221,GO:0055085,GO:0008150,0
GO:0042221,GO:0006974,GO:0050896,1
GO:0042221,GO:0051321,GO:0008150,0
GO:0042221,GO:0006811,GO:0008150,0
GO:0042221,GO:0006281,GO:0050896,1
GO:0042221,GO:0006325,GO:0008150,0
GO:0042221,GO:0048285,GO:0008150,0
GO:0042221,GO:0006629,GO:0008150,0
GO:0042221,GO:0033043,GO:0008150,0
GO:0042221,GO:0005975,GO:0008150,0
GO:0042221,GO:0071554,GO:0008150,0
GO:0042221,GO:0051726,GO:0008150,0
GO:0042221,GO:0006364,GO:0008150,0
GO:0042221,GO:0007010,GO:0008150,0
GO:0042221,GO:0006468,GO:0008150,0
GO:0042221,GO:0007059,GO:0008150,0
GO:0042221,GO:0051186,GO:0008150,0
GO:0042221,GO:0006520,GO:0008150,0
GO:0042221,GO:0002181,GO:0008150,0
GO:0042221,GO:0006310,GO:0008150,0
GO:0042221,GO:0055086,GO:0008150,0
GO:0042221,GO:0007005,GO:0008150,0
GO:0042221,GO:0018193,GO:0008150,0
GO:0042221,GO:0006091,GO:0008150,0
GO:0042221,GO:0031399,GO:0008150,0
GO:0042221,GO:0032787,GO:0008150,0
GO:0042221,GO:0051603,GO:0008150,0
GO:0042221,GO:0015931,GO:0008150,0
GO:0042221,GO:0070925,GO:0008150,0
GO:0042221,GO:0043934,GO:0008150,0
GO:0042221,GO:0070647,GO:0008150,0
GO:0042221,GO:0006260,GO:0008150,0
GO:0042221,GO:0042274,GO:0008150,0
GO:0042221,GO:0051169,GO:0008150,0
GO:0042221,GO:0006605,GO:0008150,0
GO:0042221,GO:0048193,GO:0008150,0
GO:0042221,GO:0006397,GO:0008150,0
GO:0042221,GO:0006873,GO:0008150,0
GO:0042221,GO:0000746,GO:0008150,0
GO:0042221,GO:0006979,GO:0050896,1
GO:0042221,GO:0016570,GO:0008150,0
GO:0042221,GO:0042273,GO:0008150,0
GO:0042221,GO:0006401,GO:0008150,0
GO:0042221,GO:0006897,GO:0008150,0
GO:0042221,GO:0008033,GO:0008150,0
GO:0042221,GO:0006417,GO:0008150,0
GO:0042221,GO:0006457,GO:0008150,0
GO:0042221,GO:0000910,GO:0008150,0
GO:0042221,GO:0008380,GO:0008150,0
GO:0042221,GO:0009451,GO:0008150,0
GO:0042221,GO:0016050,GO:0008150,0
GO:0042221,GO:0051052,GO:0008150,0
GO:0042221,GO:0048284,GO:0008150,0
GO:0042221,GO:0032543,GO:0008150,0
GO:0042221,GO:0045333,GO:0008150,0
GO:0042221,GO:0009408,GO:0050896,1
GO:0042221,GO:0032200,GO:0008150,0
GO:0042221,GO:0006970,GO:0050896,1
GO:0042221,GO:0006470,GO:0008150,0
GO:0042221,GO:0006869,GO:0008150,0
GO:0042221,GO:0042255,GO:0008150,0
GO:0042221,GO:0007033,GO:0008150,0
GO:0042221,GO:0006997,GO:0008150,0
GO:0042221,GO:0007124,GO:0008150,0
GO:0042221,GO:0061025,GO:0008150,0
GO:0042221,GO:0051049,GO:0008150,0
